"species","maxLat","minLat","EA_0.25_cells"
"Pinus_montezumae",28.108,14.62,33
"Pinus_monticola",51.6,38.81,24
"Pinus_morrisonicola",25.067635,22.62083,18
"Pinus_mugo",50.7167,40.3878,35
"Pinus_muricata",39.5243,28.1111,10
"Pinus_nelsonii",25.6,23.18,10
"Pinus_nigra",42.1,35.184174,17
"Pinus_occidentalis",19.38,18.12,10
"Pinus_oocarpa",28.414,9.59866,76
"Pinus_palustris",36.8251,26.8983,55
"Pinus_parviflora",42.73909884,31.2318314,20
"Pinus_patula",25,6.28244,18
"Pinus_peuce",42.207,40.75164,5
"Pinus_pinaster",43.411,31.513569,40
"Pinus_pinceana",26.725,19.35,18
"Pinus_pinea",46.505,36.4095,54
"Pinus_ponderosa",49.033333,28.04,55
"Pinus_praetermissa",23.20056,20.968,5
"Pinus_pringlei",19.42,16.94,8
"Pinus_pseudostrobus",25.53,14.56,37
"Pinus_pumila",62.48,36.268,10
"Pinus_pungens",40.837,34.5745,11
"Pinus_quadrifolia",34.002,30.07,8
"Pinus_radiata",37.87,28.19,10
"Pinus_remota",29.758,25.605,9
"Pinus_resinosa",53.543056,41.5583,205
"Pinus_rigida",45.1,31.1865,129
"Pinus_roxburghii",34.75,27.616667,7
"Pinus_rzedowskii",18.839,18.65,4
"Pinus_sabiniana",42.4419,32.84,51
"Pinus_serotina",42.0447,23.0345,123
"Pinus_sibirica",67.4,47.425,28
"Pinus_squamata",26.9,26.9,1
"Pinus_strobiformis",34.0656,23.925,21
"Pinus_strobus",50.0156,15.41,210
"Pinus_sylvestris",66.0734,37.0924,124
"Pinus_tabuliformis",43.2493,29.133333,34
"Pinus_taeda",38.7208,28.514,215
"Pinus_taiwanensis",24.7131,23.095,11
"Pinus_tecunumanii",17.0833,12.65,34
"Pinus_teocote",25.61,16.23,41
"Pinus_thunbergii",37,27.25,16
"Pinus_torreyana",38.0353,33,5
"Pinus_tropicalis",22.544838,21.71484167,7
"Pinus_uncinata",49.23673,37.05,58
"Pinus_virginiana",41.4021,29.97,212
"Pinus_wallichiana",36.23,27.416668,32
"Pinus_wangii",23.43611944,23.25341667,2
"Pinus_yunnanensis",28.48,24.79,15
"Platycladus_orientalis",41,26.6726,10
"Podocarpus_acutifolius",-41.761,-42.967,6
