sp,d.tpos,d.tneg,d.fpos,d.fneg,global.count,EA_0.25_cells
Calamus_optimus,24,23,3,0,5407,19
Calamus_ornatus,38,32,5,0,8974,32
Calamus_orthostachyus,1,7,0,0,331,1
Calamus_ovoideus,1,13,0,0,9061,1
Calamus_oxleyanus,19,22,2,0,12234,13
Calamus_oxycarpus,1,13,0,0,1815,1
Calamus_pachypus,9,13,1,0,11149,8
Calamus_pachystemonus,1,13,0,0,4804,1
Calamus_palustris,20,23,1,0,7683,18
Calamus_pandanosmus,5,12,0,0,5222,5
Calamus_paspalanthus,38,43,4,0,5237,27
Calamus_paulii,1,13,0,0,2150,1
Calamus_penicillatus,1,12,0,0,31,1
Calamus_peregrinus,6,12,1,0,17409,5
Calamus_pilosellus,16,24,0,0,1718,10
Calamus_pilosissimus,1,8,0,0,17284,1
Calamus_platyspathus,3,12,0,0,3874,3
Calamus_poensis,1,13,0,0,36,1
Calamus_pogonacanthus,2,12,0,0,667,2
Calamus_poilanei,5,12,0,0,19891,5
Calamus_polycladus,1,7,0,0,683,1
Calamus_praetermissus,23,25,1,0,5946,18
Calamus_prattianus,1,7,0,0,146,1
Calamus_pseudomollis,1,7,0,0,2189,1
Calamus_pseudotenuis,1,13,0,0,417,1
Calamus_pseudoulur,10,12,1,0,8859,8
Calamus_psilocladus,1,13,0,0,436,1
Calamus_pygmaeus,4,12,0,0,5028,2
Calamus_radicalis,34,35,0,0,11313,16
Calamus_reticulatus,5,7,0,0,2583,4
Calamus_rhabdocladus,32,33,6,0,21231,31
Calamus_rhytidomus,6,11,0,0,3562,4
Calamus_robinsonianus,1,7,0,0,1910,1
Calamus_rotang,2,12,0,0,9014,2
Calamus_rudentum,6,12,0,0,10167,7
Calamus_ruvidus,3,12,1,0,4241,3
Calamus_sabalensis,3,12,0,0,1062,1
Calamus_salicifolius,1,12,0,0,235,1
Calamus_samian,2,13,0,0,2772,2
Calamus_sarawakensis,15,24,0,0,3163,10
Calamus_scabridulus,1,13,0,0,1181,1
Calamus_schistoacanthus,1,13,0,0,2280,1
Calamus_schlechterianus,8,13,1,0,3158,6
Calamus_scipionum,22,20,4,0,5369,16
Calamus_scleracanthus,4,7,0,0,6762,3
Calamus_semoi,5,12,1,0,1985,4
Calamus_siamensis,4,13,0,0,17450,4
Calamus_simplicifolius,2,12,0,0,4927,2
Calamus_solitarius,1,12,0,0,758,1
Calamus_sordidus,15,25,1,0,3683,11
Calamus_speciosissimus,1,12,0,0,468,1
Calamus_spectabilis,1,12,0,0,581,1
Calamus_subinermis,8,12,0,0,8071,6
Calamus_temburongii,2,12,0,0,6361,1
Calamus_tenompokensis,18,25,1,0,3237,7
Calamus_tenuis,3,12,0,0,2458,3
Calamus_tetradactyloides,2,12,0,0,7591,2
Calamus_tetradactylus,28,35,2,0,16667,25
